Application,Timestamp,Description,Dimensions,Reference Frame,Proximity,Target Type,Interactor,Indication,Confirmation,Outcome
MarineVerse Cup,https://youtu.be/3-i5kSt6Jc8?si=vaW6v3_NW8AewZpu&t=50,1. Click on the UI with a pointer,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
MarineVerse Cup,https://youtu.be/3-i5kSt6Jc8?si=UYSOKVOCJ53Niip4&t=78,2. Point to 3d objects in VE,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
MarineVerse Cup,https://youtu.be/3-i5kSt6Jc8?si=B4EBM4ZGGrBEVWh7&t=22,3. Point and click on pre-defined teleport locations,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
MarineVerse Cup,https://youtu.be/3-i5kSt6Jc8?si=TPZo9MkRrkwDdnlb&t=140,4. Direct grab from environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Doctor Who The Edge of Time,https://youtu.be/iDregH7IEj0?si=hD908_Fh4OLW_e_U&t=22,1. Pointing at 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Doctor Who The Edge of Time,https://youtu.be/iDregH7IEj0?si=Ac4dNkq18lrOIvH1&t=63,2. Grab 3d object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Doctor Who The Edge of Time,https://youtu.be/iDregH7IEj0?si=uTT3OqQRKohLN-8y&t=3671,3. Select buttons by touch and click,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
Doctor Who The Edge of Time,https://youtu.be/iDregH7IEj0?si=uOIwGMSxmkXfeWej&t=1985,4. Plug switch to slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Doctor Who The Edge of Time,https://youtu.be/iDregH7IEj0?si=H97n8xxhrPjjLnOU&t=7415,5. Shoot at enemies,3D,Environment,Extrapersonal,Avatar,Ray - 2D Cursor,Pointing - Head gaze,Analog - Click,System control
Doctor Who The Edge of Time,https://youtu.be/iDregH7IEj0?si=7E_wS-_pxiUXbaXy&t=2900,6. Redirected Pointing,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Automatic,System control
Doctor Who The Edge of Time,https://youtu.be/iDregH7IEj0?si=8-xp_UvLZk5lBjti&t=3121,7. Insert a 3d object into a socket,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Death Lap,https://youtu.be/skXThXIFcEU?si=2Jma4ceXYDtfF-rt&t=108,1. Pointer to select UI elements,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Death Lap,https://youtu.be/skXThXIFcEU?si=_tAnooF8BhKWDe1c&t=201,2. Point with ray and trigger to shoot,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Death Lap,https://youtu.be/skXThXIFcEU?si=oVmTJELqbN7HDdzA&t=465,3. Press a virtual 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Fail Factory!,https://youtu.be/teLnnbcnEaM?t=90,1. Select from 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Fail Factory!,https://www.youtube.com/live/teLnnbcnEaM?si=RG-SDtGgojDWrsi1&t=187,2. Select objects through pointing,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Fail Factory!,https://www.youtube.com/live/teLnnbcnEaM?si=2Cx3j6E_wE5Qn7bq&t=189,3. Shoot 3d objects towards targets,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Aiming - Shooting,Analog - Release,System control
Fail Factory!,https://youtu.be/teLnnbcnEaM?t=380,4. Select through handheld object,3D,Environment,Extrapersonal,3D Object,Handheld object,Intersecting,Analog - Continued Press,Acquisition
Fail Factory!,https://youtu.be/teLnnbcnEaM?t=566,5. Use levers to control a remote robot,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Fail Factory!,https://www.youtube.com/live/teLnnbcnEaM?si=aHz5V_Gj-3WqB6qk&t=167,6. Point with ray to avatars and hold grip to select,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Down the Rabbit Hole,https://youtu.be/ctn_pWBqHFc?si=iVKQ3QD8JNKzrnp9&t=533,1. Touch objects in VE to select,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Down the Rabbit Hole,https://youtu.be/ctn_pWBqHFc?si=KPItVak2HeOuXqjZ&t=128,2. Grab 3d objects in VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Down the Rabbit Hole,https://youtu.be/ctn_pWBqHFc?si=21FkDTufMSOwLwmn&t=222,3. Dwelling-based touch of 2D UI,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Dwell,System control
Down the Rabbit Hole,https://youtu.be/ctn_pWBqHFc?si=V2Af6cZtG728qCAe&t=327,4. Press a virtual 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Ironlights,https://youtu.be/68ieO52oFVY?si=_zQBvgpsEYH4R_vf&t=57,1. Select items from a UI ,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Ironlights,https://youtu.be/68ieO52oFVY?si=KOnnX7_-rvYWPlVf&t=451,3. Hit enemy with handheld sword,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Shooty Skies Overdrive,https://youtu.be/_C7u_Xv40MQ?t=13,1. 2D UI with ray pointing and clicking,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Shooty Skies Overdrive,https://youtu.be/_C7u_Xv40MQ?t=43,2. Point and shoot at 3D targets,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Shooty Skies Overdrive,https://youtu.be/_C7u_Xv40MQ?t=68,"3. Aim and ""shoot"" and object",3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Shooty Skies Overdrive,https://youtu.be/_C7u_Xv40MQ?si=YUG2Ga7FaiPNN8Se&t=121,4. Directly grab an incoming object,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,Acquisition
Shooty Skies Overdrive,https://youtu.be/_C7u_Xv40MQ?si=FqKATXrTd43oRbuQ&t=115,5. Hit enemies with handheld shield,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Cook-Out,https://youtu.be/bvAXoQhCWME?si=BbQki4l44lyVhqZB&t=2826,1. Press a button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Cook-Out,https://youtu.be/bvAXoQhCWME?si=MCHvuAz9z28150Jr&t=64,2. Decimate the bread loaf,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Cook-Out,https://youtu.be/bvAXoQhCWME?si=Bj-N8hrfj5n2el-X&t=1745,3. Pick up items,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Cook-Out,https://youtu.be/bvAXoQhCWME?si=G-FeBWEnG_dSSL8N&t=114,4. Insert item into its environment slot,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Cook-Out,https://youtu.be/bvAXoQhCWME?si=Bl6qKILVjPq_iGV9&t=199,5. Grab an item from a set of items on another hand,3D,Hand,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Cook-Out,https://youtu.be/bvAXoQhCWME?si=fUpPbKjLN1lFsiqm&t=3727,6. Touch 2D UI buttons,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Cook-Out,https://youtu.be/bvAXoQhCWME?si=aIW1vzVZkxy86_h7&t=2873,7. Grab plate from inventory-like spinning tray,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Little Witch Academia: VR Broom Racing,https://youtu.be/nVmYrePViiI?t=15,1. Select from a 2D UI with pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Little Witch Academia: VR Broom Racing,https://youtu.be/nVmYrePViiI?t=1014,2. Open a menu by pointing at an object with invisible ray,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Click,System control
Little Witch Academia: VR Broom Racing,https://youtu.be/nVmYrePViiI?t=2775,3. Shoot with invisible ray (2D cursor),3D,Environment,Extrapersonal,Avatar,Ray - 2D Cursor,Pointing - Head gaze,Analog - Click,System control
Hellsweeper VR,https://youtu.be/iMKB_nM0OIE?si=HIsDUdfhX8j6jCIT&t=212,1. Throw weapon at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Hellsweeper VR,https://youtu.be/4p9jrw4eDhc?si=peIDpKKvHWRK7XoZ&t=54,2. Grab 3D object in the environment,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Hellsweeper VR,https://youtu.be/4p9jrw4eDhc?t=111,3. Select from 2D UI through pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Hellsweeper VR,https://youtu.be/4p9jrw4eDhc?t=265,4. Shoot enemies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Hellsweeper VR,https://youtu.be/4p9jrw4eDhc?t=386,5. Hit enemies with a sword,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Hellsweeper VR,https://youtu.be/4p9jrw4eDhc?si=cshPvpmzLpf-t4-6&t=429,6. Select objects through pointing,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
Hellsweeper VR,https://youtu.be/4p9jrw4eDhc?si=UmmcnAcB6CxX4JW3&t=854,7. Select from torso UI through hold and dwell,2D,Torso,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Dwell,System control
Hellsweeper VR,https://youtu.be/4p9jrw4eDhc?si=fu7BztebHSHP9a4v&t=509,8. Insert key into chest,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Yupitergrad,https://youtu.be/hJYFy6zNYt0?si=hu8euIxiQE6eCjfY&t=3,1. Pointing and shoot,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Click,System control
Yupitergrad,https://youtu.be/hJYFy6zNYt0?si=fKWvMu7N-czHyCKo&t=808,2. Another example of the same mechanic (point and shoot) with buttons,3D,Environment,Extrapersonal,3D Object,Ray - Invisible,Pointing - Hand ray,Analog - Click,System control
INVERSE,https://youtu.be/CvUg6Eteeuk?si=6y3zf0HjJuR-rC9Z&t=888,1. Touch 3d scanners near doors to close them,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
INVERSE,https://youtu.be/u4in2BoY8ro?si=6mcOKxU95Xj4uDjA&t=402,2. Hit other player characters as monster,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
INVERSE,https://youtu.be/CvUg6Eteeuk?si=l2YFQvRG9HlcSQBr&t=87,3. Directly grab objects in VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
INVERSE,https://youtu.be/uQR5dT8klHE?si=SqDMGupy1SyItmgT&t=233,4. Grab from on-torso UI inventory,2D,Torso,On-Body,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
INVERSE,https://youtu.be/CvUg6Eteeuk?si=XPKmXJt8wNQ28UHz&t=751,5. Store into on-torso UI inventory,2D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
INVERSE,https://youtu.be/u4in2BoY8ro?si=67Eqc0TYoWcRredC&t=111,6. Touch and click on 3d object to activate sequence,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Click,System control
INVERSE,https://youtu.be/u4in2BoY8ro?si=Mzwzo1pvW_TMm-e9&t=316,7. Shoot at other players,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
INVERSE,https://youtu.be/CvUg6Eteeuk?si=SoTw4mjgsjlXrvyV&t=879,8. Throw a heal or stick grenade at friendly and enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
NFL Pro Era II,https://youtu.be/tyGZoBhHPAE?si=WV6qs_vl7vVNhkJM&t=389,1. Point and click on env 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
NFL Pro Era II,https://youtu.be/aWwMiMrI2W8?si=bBTT2sZI-rdXj_Kl&t=60,2. Point and click on env 3D objects,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Continued Press,Acquisition
NFL Pro Era II,https://youtu.be/tyGZoBhHPAE?si=a2ZSNHw81GYqiVPa&t=751,3. Touch on-hand UI to select,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
NFL Pro Era II,https://youtu.be/aWwMiMrI2W8?si=krmnvnVw1GJje6a3&t=189,4. Point and click to on-hand UI,2D,Hand,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
NFL Pro Era II,https://youtu.be/aWwMiMrI2W8?si=_fqsTKsS_HueLZ8T&t=361,5. Direct grab objects in VE,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
NFL Pro Era II,https://youtu.be/aWwMiMrI2W8?si=ySmw20WGVOR74ZzZ&t=228,6. Throw ball towards another player,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/PYADAL2EN0I?si=envS0h2BY3ytV0Yk&t=220,1. Selecting environment objects through touch,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/PYADAL2EN0I?si=z_AisMsIiOcU2fCZ&t=394,2. Pulling a lever to open a door,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/PYADAL2EN0I?si=ETYNKV8v3bUxi5jA&t=852,3. Shoot traps at ghosts,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/PYADAL2EN0I?si=3R-ca-m7vrvbn4CW&t=1080,4. Select avatar look through pointing at pictures,3D,Environment,Peripersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/PYADAL2EN0I?si=cgoCrksoOk-7Q_mz&t=1149,5. Pointing at flat UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/PYADAL2EN0I?si=shhFbUIfgU-eUq-k&t=1155,6. Add handheld object to socket,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/PYADAL2EN0I?si=KaGHLqCIlojYv4gU&t=1776,7. Release the trigger to shoot in MR,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Release,System control
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/PYADAL2EN0I?si=4I0kVgWlHJWPOgE4&t=1936,8. Select from torso referenced 2D UI,2D,Torso,On-Body,UI Element,Ray - 2D Cursor,Pointing - Hand ray,Analog - Click,System control
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/PYADAL2EN0I?si=K6ZXPAT55fKQc1Px&t=1444,9. Highfive avatars to revive ,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/gIepl4r4Pwc?si=S1dyAixHSqyHlM1W&t=801,10. Retrieve from on torso inventroy,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Ghostbusters: Rise of the Ghost Lord,https://youtu.be/gIepl4r4Pwc?si=WL0ZzX2RQ-qt2RS4&t=1526,11. Discrete manipulation,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
BIG BALLERS VR,https://youtu.be/HTURdGGEcj4?si=6Tm6GKBshJFDXKXx&t=4,1. Throw basketball at the basket,3D,Environment,Extrapersonal,3D Object,Handheld object,Aiming - Throwing,Analog - Release,System control
BIG BALLERS VR,https://youtu.be/HTURdGGEcj4?si=M54Jn_KYXSzvI014&t=15,2. Hit a baseball with a bat,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
BIG BALLERS VR,https://youtu.be/HTURdGGEcj4?si=4dLv7Vw_2ndoavgY&t=54,3. Press 3D button,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
BIG BALLERS VR,https://youtu.be/1FeYAdGAIhI?si=wOpnpLWzFL_DWYcD&t=25,4. Select from in-game Menu,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
BIG BALLERS VR,https://youtu.be/mmhvixUA3M8?si=WAmluI9R6FLyPwl1&t=290,6. Touch hand representations for warmup,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Assassin’s Creed® Nexus VR,https://youtu.be/MdNTX0KIxl8?si=cjXMHOf9ktU-fVS7&t=174,1. Touch a MR flat UI,2D,Environment,Peripersonal,UI Element,Virtual hand,Intersecting,Automatic,System control
Assassin’s Creed® Nexus VR,https://youtu.be/MdNTX0KIxl8?si=Qnu-PvBvbWuFFdlZ&t=187,2. Insert 3D object in a socket,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Analog - Release,System control
Assassin’s Creed® Nexus VR,https://youtu.be/MdNTX0KIxl8?si=spDe_HTJQXiaa6M0&t=423,3. Select 2D UI through pointing,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Assassin’s Creed® Nexus VR,https://youtu.be/MdNTX0KIxl8?si=J96iOc4tJWoOyoDL&t=856,7. Hit enemies with hidden blade,3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
Assassin’s Creed® Nexus VR,https://youtu.be/MdNTX0KIxl8?si=lDEgI8p85IcsRFmP&t=951,8. Insert items into sockets,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Assassin’s Creed® Nexus VR,https://youtu.be/F5fHsOhlKYM?si=qMNYcbD5PvudwkeE&t=2434,9. open a safe using a rotating handle,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Assassin’s Creed® Nexus VR,https://youtu.be/MdNTX0KIxl8?si=NICxww5Qp5quAUbf&t=1286,10. Hit enemies with sword,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Assassin’s Creed® Nexus VR,https://youtu.be/MdNTX0KIxl8?si=ETcKbbukOvrn0Ho5&t=2252,11. Grab and hold 3d object to sync,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Dwell,Acquisition
Assassin’s Creed® Nexus VR,https://youtu.be/wABH1D-CdAk?si=w_wt17C38lJacDnG&t=1078,12. Throw blades at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Assassin’s Creed® Nexus VR,https://youtu.be/wABH1D-CdAk?si=-neZBuky0-2Oo2N2&t=1113,13. Insert items into on-body inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Assassin’s Creed® Nexus VR,https://youtu.be/wABH1D-CdAk?si=7689Shslpn1t2_iO&t=1227,14. Select from ob-body inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Assassin’s Creed® Nexus VR,https://youtu.be/F5fHsOhlKYM?si=Cg2istQnIhSs0Xsx&t=485,15. Hit enemies with bow and arrow,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Release,System control
Assassin’s Creed® Nexus VR,https://youtu.be/rjKC7xFKA_w?si=Ghd5HRohkYTEZA3L&t=421,16. Set off fireworks,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Wallace & Gromit in The Grand Getaway,https://youtu.be/Lck4WT3HI_c?si=tnueM_YSy4blHKDf&t=120,1. Wave hand at specidied space,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Automatic,System control
Wallace & Gromit in The Grand Getaway,https://youtu.be/Lck4WT3HI_c?si=E7L0OjrPdzkBgT-9&t=239,3. Select predefined location to move through gaze ray,3D,Environment,Extrapersonal,3D Object,Ray - 2D Cursor,Pointing - Head gaze,Dwell,System control
Wallace & Gromit in The Grand Getaway,https://youtu.be/Lck4WT3HI_c?si=q9WtxrL5NHJ7sUNf&t=555,4. Select TV channels using a slider,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Wallace & Gromit in The Grand Getaway,https://youtu.be/Lck4WT3HI_c?si=ygSxRuxXf-N8NI89&t=915,5. Press 3D buttons,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Press-in motion,System control
Wallace & Gromit in The Grand Getaway,https://youtu.be/Lck4WT3HI_c?si=RfTw9FufZ2wX7jbi&t=1102,6. Hit objects with handheld item,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Wallace & Gromit in The Grand Getaway,https://youtu.be/Lck4WT3HI_c?si=reVTY2c49kUniEG8&t=1901,7. Shoot at targets,3D,Environment,Extrapersonal,3D Object,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Wallace & Gromit in The Grand Getaway,https://youtu.be/Lck4WT3HI_c?si=43iAoSBLD8CRMkJz&t=162,8. Insert items into socket,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Wallace & Gromit in The Grand Getaway,https://youtu.be/Lck4WT3HI_c?si=0XJPp_d4eEpRY-M5&t=2199,9. Touch a door panel and dwell,3D,Environment,Peripersonal,3D Object,Virtual hand,Intersecting,Dwell,System control
Wallace & Gromit in The Grand Getaway,https://youtu.be/vVJQtAYG6HU?si=2SM0s_2eqQPFJbZJ&t=89,10. Pointing at 2D UI,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Asgard’s Wrath 2,https://youtu.be/bCcpHv2uiJs?si=_RDxDZWnxi-B54v_&t=163,1. Pointing at 2D UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Asgard’s Wrath 2,https://youtu.be/bCcpHv2uiJs?si=J7WxQvC0iyKnYTYk&t=861,4. Throw the sword at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Asgard’s Wrath 2,https://youtu.be/bCcpHv2uiJs?si=KfMgCzFlYUMJ8jmx&t=2634,5. Hit enemy with a sword,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Asgard’s Wrath 2,https://youtu.be/bCcpHv2uiJs?si=PlFeQMjWlwreFLvN&t=1654,6. Touch 2D UI on hand to open menu,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Automatic,System control
Asgard’s Wrath 2,https://youtu.be/bCcpHv2uiJs?si=yVgQsGhUhXsWn8Bu&t=1747,7. Grab Items from on-body inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Asgard’s Wrath 2,https://youtu.be/bCcpHv2uiJs?si=uVfULZTRnJdrOM52&t=1822,8. Store items in on-body inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Asgard’s Wrath 2,https://youtu.be/bCcpHv2uiJs?si=RiSn0pdfJwlXMD5o&t=2442,9. Place items in socket,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Asgard’s Wrath 2,https://youtu.be/P0pv_XRsHRY?si=dHm7FIh2JW2WkE7c&t=68,10. Pull rope to open a door,3D,Environment,Peripersonal,Discrete configuration,Handheld object,Discrete manipulation,Automatic,System control
Asgard’s Wrath 2,https://youtu.be/LHktc8D52xI?si=mAIyvlOfY2RTc13u&t=2673,11. Select from torso 2D UI inventory,2D,Torso,On-Body,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,Acquisition
Asgard’s Wrath 2,https://youtu.be/LHktc8D52xI?si=2-DxPXJafP97-2PC&t=2707,12. Point at avatar and click to select it,3D,Environment,Extrapersonal,Avatar,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Arizona Sunshine® 2,https://youtu.be/hYDA2cPmw3I?si=DJV9e3bE1f6O6rls&t=58,1. Point at 2D environment UI,2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Arizona Sunshine® 2,https://youtu.be/Yg8JoYby2LE?si=JOFJbRTvzaMQAw1h&t=405,4. Shooting at enemies,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Click,System control
Arizona Sunshine® 2,https://youtu.be/Yg8JoYby2LE?si=FJXelENw42lA06zY&t=488,5. Insert into on-body inventory,3D,Torso,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Arizona Sunshine® 2,https://youtu.be/Yg8JoYby2LE?si=LPoQLSk0ajbRxTQU&t=753,6. Wearing hat,3D,Head,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Arizona Sunshine® 2,https://youtu.be/Yg8JoYby2LE?si=rWNTM19DailcAjkn&t=936,7. Hit enemies with handheld objects,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Arizona Sunshine® 2,https://youtu.be/Yg8JoYby2LE?si=yg8gLTaZkXZExOAD&t=1203,8. Dress a dog,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Arizona Sunshine® 2,https://youtu.be/Yg8JoYby2LE?si=Y3zcc64MlgdPSghM&t=1668,9. Select items from on hand inventory,2D,Hand,On-Body,UI Element,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Arizona Sunshine® 2,https://youtu.be/Yg8JoYby2LE?si=JYCERRIb_yPGs27G&t=2106,10. Insert item into on-hand inventory,2D,Hand,On-Body,Storage unit,Handheld object,Intersecting,Analog - Release,System control
Arizona Sunshine® 2,https://youtu.be/Yg8JoYby2LE?si=V1EdNSRYzR0Q9EAE&t=2219,11. Throw molotov cocktail,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Arizona Sunshine® 2,https://youtu.be/hYDA2cPmw3I?si=6aR-0xGOMaM3u4HM&t=692,12. Grab item from on-torso inventory,3D,Torso,On-Body,3D Object,Virtual hand,Intersecting,Analog - Continued Press,Acquisition
Arizona Sunshine® 2,https://youtu.be/hYDA2cPmw3I?si=2-wH4E-slY2w8hB8&t=1785,13. Insert item into environment socket,3D,Environment,Peripersonal,Storage unit,Handheld object,Intersecting,Analog - Release,System control
